theta,d_theta,-3.0,0.0,3.0
-2.3961,-3.6249,-1298.9702382828145,-1222.6220997090525,-1283.8748040287223
-2.3961,-1.2083,-1287.7305029382958,-1235.5857802208284,-1304.7095901948605
-2.3961,1.2083,-1279.1987500130692,-1251.2032074417787,-1283.7978628990663
-2.3961,3.6249,-1266.757478520993,-1263.2155073403014,-1268.585713652218
-2.3961,6.0415,-1186.982545973623,-1184.4453840843169,-1179.262791485219
-2.3961,8.4581,-1063.5129767654184,-1052.6775407893224,-1042.287421765112
-2.3961,10.8747,-982.6343120157833,-971.4955430316628,-974.9287378748951
-2.3961,13.2914,-893.670337927228,-880.9398092687077,-888.9093583315722
-2.3961,15.708,-792.0533974083111,-794.7267202945077,-783.688993284641
-2.3961,18.1246,-744.1851538474544,-739.04847441017,-741.6383551929716
-2.3961,20.5412,-662.0750919116701,-648.6707897291118,-648.9776930398114
-2.3961,22.9578,-426.35728940028423,-400.5596842070804,-405.6657563763084
-2.3961,25.3744,-21.51603201452965,-42.9018227636212,-20.154346804130302
-2.3961,27.791,-11.915289795244107,0.0,0.0
-2.3961,30.2076,0.0,0.0,0.0
-2.3961,32.6242,0.0,0.0,0.0
-2.3961,35.0408,0.0,0.0,0.0
-2.3961,37.4575,0.0,0.0,0.0
-2.3961,39.8741,0.0,0.0,0.0
-2.3961,42.2907,0.0,0.0,0.0
-2.3961,44.7073,0.0,0.0,0.0
-2.3961,47.1239,0.0,0.0,0.0
-2.2896,-47.1239,0.0,0.0,0.0
-2.2896,-44.7073,0.0,0.0,0.0
-2.2896,-42.2907,0.0,0.0,0.0
-2.2896,-39.8741,0.0,0.0,0.0
-2.2896,-37.4575,0.0,0.0,0.0
-2.2896,-35.0408,0.0,0.0,0.0
-2.2896,-32.6242,0.0,0.0,0.0
-2.2896,-30.2076,0.0,0.0,0.0
-2.2896,-27.791,0.0,0.0,0.0
-2.2896,-25.3744,-9.467667408240857,0.0,-9.68290200381137
-2.2896,-22.9578,-914.4012382631164,-931.860425016738,-890.468365813957
-2.2896,-20.5412,-1273.916091032021,-1272.233944271666,-1270.1788405490506
-2.2896,-18.1246,-1367.847328655951,-1360.1362883761815,-1370.0981682323725
-2.2896,-15.708,-1355.6872817753185,-1355.7881269528016,-1358.2441158491652
-2.2896,-13.2914,-1362.2833850923005,-1362.78967502858,-1363.0850313223254
-2.2896,-10.8747,-1340.394243447651,-1340.6773741150805,-1340.7592197467613
-2.2896,-8.4581,-1316.8870643187395,-1321.1099185685264,-1343.941196980766
-2.2896,-6.0415,-1342.2383149031377,-1176.54792168366,-1383.0428872917894
-2.2896,-3.6249,-1318.2878611323947,-1176.6346716671865,-1351.0954488563964
-2.2896,-1.2083,-1216.4363074807547,-1356.4013736344482,-1342.1972368309096
-2.2896,1.2083,-1273.2633396168462,-1227.3467428123504,-1275.3204666474217
-2.2896,3.6249,-1226.9113467258035,-1217.890667036772,-1226.550876171364
-2.2896,6.0415,-1147.5563060231823,-1124.9595657556524,-1138.8002511603847
-2.2896,8.4581,-1003.1899308728842,-1006.2629620298695,-1005.7973584955756
-2.2896,10.8747,-936.9874692385008,-935.4235580886124,-925.4067712085363
-2.2896,13.2914,-836.1208277041555,-820.8915301098566,-842.7210100606295
-2.2896,15.708,-743.1354083666032,-729.8094452116513,-735.7582795305058
-2.2896,18.1246,-680.3057003188247,-678.3477611340422,-677.7820667023561
-2.2896,20.5412,-597.0858043822677,-589.8043597527984,-597.3545273934689
-2.2896,22.9578,-310.8188429934234,-324.92319456408234,-335.4336130144103
-2.2896,25.3744,-23.238560034266648,-24.65715344040033,-17.976716979147927
-2.2896,27.791,0.0,0.0,0.0
-2.2896,30.2076,0.0,0.0,0.0
-2.2896,32.6242,0.0,0.0,0.0
-2.2896,35.0408,0.0,0.0,0.0
-2.2896,37.4575,0.0,0.0,0.0
-2.2896,39.8741,0.0,0.0,0.0
-2.2896,42.2907,0.0,0.0,0.0
-2.2896,44.7073,0.0,0.0,0.0
-2.2896,47.1239,0.0,0.0,0.0
-2.1831,-47.1239,0.0,0.0,0.0
-2.1831,-44.7073,0.0,0.0,0.0
-2.1831,-42.2907,0.0,0.0,0.0
-2.1831,-39.8741,0.0,0.0,0.0
-2.1831,-37.4575,0.0,0.0,0.0
-2.1831,-35.0408,0.0,0.0,0.0
-2.1831,-32.6242,0.0,0.0,0.0
-2.1831,-30.2076,0.0,0.0,0.0
-2.1831,-27.791,0.0,0.0,0.0
-2.1831,-25.3744,0.0,-8.365566327188613,0.0
-2.1831,-22.9578,-355.28823407167727,-377.85343959057064,-342.95803239022945
-2.1831,-20.5412,-1214.1981080180444,-1204.484135774623,-1213.8171875651683
-2.1831,-18.1246,-1346.8720327359122,-1337.5038769797393,-1341.801970964356
-2.1831,-15.708,-1367.2782228498502,-1366.8552462583175,-1366.0707092606024
-2.1831,-13.2914,-1358.2122015063924,-1356.0727065421406,-1355.6366999738018
-2.1831,-10.8747,-1336.582763254888,-1336.457545360541,-1337.0423890192033
-2.1831,-8.4581,-1316.7678042217808,-1312.566794028949,-1313.3278572132967
-2.1831,-6.0415,-1307.145984564191,-1313.3365296612253,-1307.7627590463621
-2.1831,-3.6249,-1321.87800421697,-1227.6843641588478,-1322.4162468866089
-2.1831,-1.2083,-1212.3013139089655,-1306.208482527786,-1311.2817143792477
-2.1831,1.2083,-1255.2420174800068,-1223.0565097921094,-1263.7264053307986
-2.1831,3.6249,-1190.9166648111118,-1185.3447983436906,-1178.7598115981639
-2.1831,6.0415,-1098.820822766064,-1083.182978146251,-1049.515363689234
-2.1831,8.4581,-971.7025543584518,-982.3280222617724,-977.974815727914
-2.1831,10.8747,-884.6900166293954,-882.58896991294,-869.5517148707812
-2.1831,13.2914,-775.4125286700084,-766.2533368977553,-773.969328222501
-2.1831,15.708,-695.2999316650598,-690.9347601919159,-681.5676636518516
-2.1831,18.1246,-627.604335658095,-617.3898675547321,-626.3571950359133
-2.1831,20.5412,-531.4949111292256,-530.92431832463,-526.0691473325231
-2.1831,22.9578,-277.42667410464895,-244.25906380825882,-243.46204338802394
-2.1831,25.3744,-10.342968976000954,-9.716939164024087,0.0
-2.1831,27.791,0.0,0.0,0.0
-2.1831,30.2076,0.0,0.0,0.0
-2.1831,32.6242,0.0,0.0,0.0
-2.1831,35.0408,0.0,0.0,0.0
-2.1831,37.4575,0.0,0.0,0.0
-2.1831,39.8741,0.0,0.0,0.0
-2.1831,42.2907,0.0,0.0,0.0
-2.1831,44.7073,0.0,0.0,0.0
-2.1831,47.1239,0.0,0.0,0.0
-2.0766,-47.1239,0.0,0.0,0.0
-2.0766,-44.7073,0.0,0.0,0.0
-2.0766,-42.2907,0.0,0.0,0.0
-2.0766,-39.8741,0.0,0.0,0.0
-2.0766,-37.4575,0.0,0.0,0.0
-2.0766,-35.0408,0.0,0.0,0.0
-2.0766,-32.6242,0.0,0.0,0.0
-2.0766,-30.2076,0.0,0.0,0.0
-2.0766,-27.791,0.0,0.0,0.0
-2.0766,-25.3744,0.0,0.0,0.0
-2.0766,-22.9578,-43.98145718543013,-59.93827891496247,-95.58241579200975
-2.0766,-20.5412,-1069.9521993690794,-1053.564968702009,-1057.776067171895
-2.0766,-18.1246,-1316.459294698979,-1311.513024366528,-1322.3127352825336
-2.0766,-15.708,-1364.5115534525921,-1365.2150397441196,-1365.602483067828
-2.0766,-13.2914,-1358.2309311090046,-1357.5468399078352,-1357.785474293949
-2.0766,-10.8747,-1336.7353556764754,-1333.2354789612639,-1332.7729033373266
-2.0766,-8.4581,-1318.8434254814836,-1317.2828093168837,-1318.6247069896235
-2.0766,-6.0415,-1289.7135710203547,-1288.8416754886366,-1286.3368910253362
-2.0766,-3.6249,-1258.5975226127152,-1227.5140245432658,-1265.6603930912006
-2.0766,-1.2083,-1247.474049245874,-1198.0253850599115,-1236.9422122304209
-2.0766,1.2083,-1211.787714447014,-1178.4134754816127,-1210.8673262463103
-2.0766,3.6249,-1147.6841152341756,-1149.5786767692985,-1141.9673861803271
-2.0766,6.0415,-1033.3466339723436,-1014.5061040798139,-1002.883914563042
